case,trial,winner,reason
incident,1,r7k3,It matches the full safety diagnosis and verification burden without adding an arbitrary three-pass release ritual.
incident,2,c8q1,It proves the one-key one-charge invariant across the required failure paths without an unsupported repeated-run gate.
incident,3,p5n0,It provides equally strong containment and durable idempotency with a proportionate canary and ledger-based release gate.
research,1,z3d7,It remains within the word limit while preserving the same evidence distinctions and controlled-study recommendation.
research,2,tie,Both reject the causal percentage and propose an appropriately bounded production evaluation with real defect outcomes.
research,3,v1c8,Its public alternative stays narrowly tied to observed defect associations instead of blending productivity with broad code-quality language.
polish,1,g7y2,It delivers the smaller coherent repair and avoids imposing unsupported character-content rules on display names.
polish,2,s1e5,It type-checks failure messages and enforces the documented 204 success contract while meeting every interface requirement.
polish,3,x6l0,It meets the contract with less machinery and adds an accessible status message for native validation failures.
quick,1,tie,Both outputs are identical and fully satisfy the one-sentence eighteen-word constraint.
quick,2,tie,Both outputs are identical and fully satisfy the one-sentence eighteen-word constraint.
quick,3,tie,Both outputs are identical and fully satisfy the one-sentence eighteen-word constraint.
